;;OKATOList
Республика Саха (Якутия) ;8000 Республика Сакса Ы Акутия;NaimOKATO98000RespublikaSaxaYAkutiyaMember
Еврейская автономная область ;9000 Еврейская Автономная Област;NaimOKATO99000EvrejskayaAvtonomnayaOblastMember
Байконур ;5000 Баиконур;NaimOKATO55000BaikonurMember
Иные субъекты, включенные в ОКАТО;ное Р;NaimOKATOInoeRMember
;;OKATOList
01;Алтайский Край;OKATO01000AltajskijKrajMember
03;Краснодарский Край;OKATO03000KrasnodarskijKrajMember
04;Красноярский Край;OKATO04000KrasnoyarskijKrajMember
05;Приморский Край;OKATO05000PrimorskijKrajMember
07;Ставрополский Край;OKATO07000StavropolskijKrajMember
08;Ксабаровский Край;OKATO08000XabarovskijKrajMember
10;Амурская Област;OKATO10000AmurskayaOblastMember
11;Арксангелская Област;OKATO11000ArxangelskayaOblastMember
11100;Арксангелская Област_ Ненецкиы А О;OKATO11100ArxangelskayaOblast_NeneckiyAOMember
12;Астраксанская Област;OKATO12000AstraxanskayaOblastMember
14;Белгородская Област;OKATO14000BelgorodskayaOblastMember
15;Брянская Област;OKATO15000BryanskayaOblastMember
17;Владимирская Област;OKATO17000VladimirskayaOblastMember
18;Волгоградская Област;OKATO18000VolgogradskayaOblastMember
19;Вологодская Област;OKATO19000VologodskayaOblastMember
20;Воронежская Област;OKATO20000VoronezhskayaOblastMember
21;Донецзкая Народн Респ;OKATO21000DoneczkayaNarodnRespMember
22;Нижегородская Област;OKATO22000NizhegorodskayaOblastMember
23;Запорож Обл;OKATO23000ZaporozhOblMember
24;Ивановская Област;OKATO24000IvanovskayaOblastMember
25;Иркутская Област;OKATO25000IrkutskayaOblastMember
26;Республика Ингушетия;OKATO26000RespublikaIngushetiyaMember
27;Калининградская Област;OKATO27000KaliningradskayaOblastMember
28;Тверская Област;OKATO28000TverskayaOblastMember
29;Калужская Област;OKATO29000KaluzhskayaOblastMember
30;Камчатский Край;OKATO30000KamchatskijKrajMember
32;Кемеровская Област;OKATO32000KemerovskayaOblastMember
33;Кировская Област;OKATO33000KirovskayaOblastMember
34;Костромская Област;OKATO34000KostromskayaOblastMember
35;Республика Крым;OKATO35000RespublikaKrymMember
36;Самарская Област;OKATO36000SamarskayaOblastMember
37;Курганская Област;OKATO37000KurganskayaOblastMember
38;Курская Област;OKATO38000KurskayaOblastMember
40;Город Санкт Петербург Город Федералного Значения;OKATO40000GorodSanktPeterburgGorodFederalnogoZnacheniyaMember
41;Ленинградская Област;OKATO41000LeningradskayaOblastMember
42;Липецзкая Област;OKATO42000LipeczkayaOblastMember
43;Луганская Народн Респ;OKATO43000LuganskayaNarodnRespMember
44;Магаданская Област;OKATO44000MagadanskayaOblastMember
45;Город Москва Столицза Российской Федерацзии Город Федералного Значения;OKATO45000GorodMoskvaStoliczaRossijskojFederacziiGorodFederalnogoZnacheniyaMember
46;Московская Област;OKATO46000MoskovskayaOblastMember
47;Мурманская Област;OKATO47000MurmanskayaOblastMember
49;Новгородская Област;OKATO49000NovgorodskayaOblastMember
50;Новосибирская Област;OKATO50000NovosibirskayaOblastMember
52;Омская Област;OKATO52000OmskayaOblastMember
53;Оренбургская Област;OKATO53000OrenburgskayaOblastMember
54;Орловская Област;OKATO54000OrlovskayaOblastMember
56;Пензенская Област;OKATO56000PenzenskayaOblastMember
57;Пермский Край;OKATO57000PermskijKrajMember
58;Псковская Област;OKATO58000PskovskayaOblastMember
60;Ростовская Област;OKATO60000RostovskayaOblastMember
61;Рязанская Област;OKATO61000RyazanskayaOblastMember
63;Саратовская Област;OKATO63000SaratovskayaOblastMember
64;Саксалинская Област;OKATO64000SaxalinskayaOblastMember
65;Свердловская Област;OKATO65000SverdlovskayaOblastMember
66;Смоленская Област;OKATO66000SmolenskayaOblastMember
67;Город Федералного Значения Севастопол;OKATO67000GorodFederalnogoZnacheniyaSevastopolMember
68;Тамбовская Област;OKATO68000TambovskayaOblastMember
69;Томская Област;OKATO69000TomskayaOblastMember
70;Тулская Област;OKATO70000TulskayaOblastMember
71;Тюменская Област;OKATO71000TyumenskayaOblastMember
71100;Тюменская Област_ Ксанты_ Мансийский А О;OKATO71100TyumenskayaOblast_Xanty_MansijskijAOMember
71140;Тюменская Област_ Ямало_ Ненецзкий А О;OKATO71140TyumenskayaOblast_Yamalo_NeneczkijAOMember
73;Уляновская Област;OKATO73000UlyanovskayaOblastMember
74;Херсонская Обл;OKATO74000HersonskayaOblMember
75;Ц Хелябинская Област;OKATO75000CHelyabinskayaOblastMember
76;Забайкалский Край;OKATO76000ZabajkalskijKrajMember
